"","Y","total","J_2"
"1",0,100,1
"2",0,100,1
"3",43,100,1
"4",56,100,1
"5",8,100,1
"6",0,100,1
"7",3,100,1
"8",0,100,1
"9",2,100,1
"10",0,100,1
"11",0,257,2
"12",0,324,2
"13",0,197,2
"14",0,320,2
"15",0,333,2
"16",0,349,2
"17",0,165,2
"18",0,179,2
"19",0,288,2
"20",0,316,2
"21",219,224,3
"22",15,295,3
"23",30,357,3
"24",72,275,3
"25",270,278,3
"26",294,300,3
"27",288,299,3
"28",6,253,3
"29",0,237,3
"30",9,362,3
"31",27,222,4
"32",21,176,4
"33",21,223,4
"34",18,171,4
"35",19,198,4
"36",20,190,4
"37",19,166,4
"38",24,184,4
"39",0,100,5
"40",0,100,5
"41",0,100,5
"42",0,100,5
"43",1,100,5
"44",0,100,5
"45",0,100,5
"46",0,100,5
"47",0,100,5
"48",0,100,5
"49",0,121,6
"50",7,185,6
"51",0,162,6
"52",0,151,6
"53",2,124,6
"54",4,110,6
"55",4,153,6
"56",3,161,6
"57",3,145,6
"58",1,150,6
"59",0,100,7
"60",0,100,7
"61",0,100,7
"62",0,100,7
"63",0,100,7
"64",0,100,7
"65",0,100,7
"66",0,100,7
"67",0,100,7
"68",0,100,7
"69",1,10,8
"70",8,18,8
"71",16,49,8
"72",0,41,8
"73",15,70,8
"74",17,50,8
"75",0,3,8
"76",19,100,9
"77",13,100,9
"78",16,100,9
"79",9,100,9
"80",3,100,9
"81",3,100,9
"82",3,100,9
"83",5,100,9
"84",8,100,9
"85",6,100,9
"86",0,335,11
"87",0,117,11
"88",0,53,11
"89",0,208,11
"90",0,63,11
"91",0,5,10
"92",2,6,10
"93",0,6,10
"94",3,7,10
"95",4,6,10
"96",1,5,10
"97",0,6,10
"98",1,5,10
"99",0,4,10
"100",0,7,10
"101",0,4,12
"102",0,7,12
"103",0,3,12
"104",0,6,12
"105",0,6,12
"106",1,100,15
"107",0,100,15
"108",0,100,15
"109",1,100,15
"110",0,100,15
"111",0,100,15
"112",0,100,15
"113",0,100,15
"114",0,100,15
"115",0,100,15
"116",0,100,13
"117",0,100,13
"118",0,200,13
"119",0,86,13
"120",2,10,14
"121",9,65,14
"122",17,63,14
"123",6,65,14
"124",2,43,14
"125",2,49,14
"126",1,100,14
"127",2,101,14
"128",1,100,14
"129",23,68,14
"130",1,100,14
"131",0,167,16
"132",0,74,16
"133",0,100,16
"134",0,21,16
"135",0,100,16
"136",0,34,16
"137",0,167,16
"138",0,100,15
"139",0,200,15
"140",0,100,15
"141",0,200,15
"142",0,100,15
"143",0,100,15
"144",0,100,15
"145",0,100,15
"146",2,106,17
"147",0,213,17
"148",2,271,17
"149",2,339,17
"150",2,317,17
"151",3,100,18
"152",0,100,18
"153",1,100,18
"154",1,100,18
"155",2,100,18
"156",0,100,18
"157",0,100,18
"158",0,100,18
"159",0,100,18
"160",0,100,18
"161",0,100,20
"162",0,100,19
"163",0,100,19
"164",0,100,19
"165",0,100,19
"166",0,100,19
"167",0,100,19
"168",0,100,19
"169",0,100,19
"170",0,100,19
"171",0,93,21
"172",0,72,21
"173",0,134,21
"174",0,84,21
"175",0,58,21
"176",12,100,22
"177",2,100,22
"178",5,100,22
"179",21,100,22
"180",8,100,22
"181",7,200,22
"182",6,200,22
"183",0,5,23
"184",0,5,23
"185",0,7,23
"186",0,9,23
"187",0,7,23
"188",0,6,23
"189",0,6,23
"190",0,7,23
"191",0,6,23
"192",0,6,23
"193",0,7,23
"194",0,200,24
"195",0,200,24
"196",0,100,24
"197",0,100,24
"198",0,100,24
"199",0,100,25
"200",0,100,25
"201",0,100,25
"202",0,100,25
"203",0,100,25
"204",0,100,25
"205",0,100,25
"206",0,100,25
"207",0,10,26
"208",0,33,26
"209",0,7,26
"210",0,67,26
"211",0,36,26
"212",0,18,26
"213",0,109,26
"214",0,28,26
"215",0,17,26
"216",0,74,26
"217",0,237,26
"218",0,20,26
"219",0,36,26
"220",0,7,26
"221",0,2,27
"222",0,3,27
"223",1,2,27
"224",0,8,27
"225",0,3,27
"226",0,32,27
"227",0,13,27
"228",0,14,27
"229",0,4,27
"230",40,60,28
"231",45,66,28
"232",12,39,28
"233",31,45,28
"234",42,54,28
"235",33,66,28
"236",6,10,28
"237",10,21,28
"238",1,122,30
"239",5,130,30
"240",0,120,30
"241",1,485,29
"242",0,191,29
"243",0,37,29
"244",0,88,29
"245",0,76,29
"246",0,187,29
"247",0,87,29
"248",0,105,29
"249",4,26,31
"250",9,22,31
"251",4,15,31
"252",0,8,31
"253",17,107,31
"254",23,53,31
"255",9,99,31
"256",18,105,31
"257",22,112,31
"258",17,107,31
"259",0,100,32
"260",0,100,32
"261",0,100,32
"262",0,100,32
"263",0,100,32
"264",0,100,32
"265",0,100,32
"266",0,100,32
"267",0,100,32
"268",0,100,32
"269",0,200,33
"270",0,200,33
"271",0,100,33
"272",0,200,33
"273",0,100,33
"274",0,200,33
"275",0,99,34
"276",0,76,34
"277",0,75,34
"278",0,100,34
"279",0,100,34
"280",1,12,35
"281",1,6,35
"282",0,3,35
"283",0,2,35
"284",0,2,35
"285",0,1,35
"286",0,200,36
"287",0,100,36
"288",0,100,36
"289",0,100,36
"290",0,100,36
"291",0,100,36
"292",0,100,36
"293",0,100,36
"294",0,100,36
